activity,ax,ay,az,gx,gy,gz
lying , 9.6187 , -1.1176 , -0.5068 , -0.0035 , -0.0173 , -0.0038
lying , 9.6594 , -1.1008 , -0.6122 , 0.0024 , 0.0008 , 0.0015
lying , 9.6882 , -1.1991 , -0.7799 , 0.0024 , 0.0173 , -0.0012
lying , 9.6522 , -1.1248 , -0.5931 , 0.0029 , 0.0125 , -0.0012
lying , 9.645 , -1.0984 , -0.5811 , 0.0008 , 0.0061 , -0.0049
lying , 9.6211 , -1.12 , -0.5092 , 0.0008 , -0.003 , 0.0025
lying , 9.6331 , -1.1272 , -0.6362 , -0.0013 , 0.012 , -0.0038
lying , 9.6235 , -1.1368 , -0.6338 , -0.004 , 0.0088 , 0.002
lying , 9.6426 , -1.1128 , -0.4565 , 0.0013 , -0.0109 , 0.0009
lying , 9.6594 , -1.1511 , -0.5476 , -0.0019 , 0.0077 , -0.0001
lying , 9.7145 , -1.0721 , -0.5763 , -0.0045 , -0.0024 , 0.0004
lying , 9.6905 , -1.1368 , -0.4805 , -0.0035 , 0.0002 , 0.0004
lying , 9.6714 , -1.1104 , -0.6338 , 0.0003 , -0.0131 , 0.0009
lying , 9.7025 , -1.1224 , -0.6554 , -0.004 , -0.0152 , -0.0049
lying , 9.6666 , -1.0817 , -0.526 , -0.0029 , -0.0179 , -0.0017
lying , 9.645 , -1.1392 , -0.5787 , -0.0035 , -0.0205 , 0.002
lying , 9.6307 , -1.1032 , -0.6027 , -0.0013 , -0.0168 , 0.0009
lying , 9.6331 , -1.1559 , -0.6003 , -0.0024 , -0.0173 , 0.0079
lying , 9.6953 , -1.1032 , -0.4733 , 0.0051 , 0.013 , -0.0049
lying , 9.7145 , -1.1152 , -0.4494 , 0.0061 , -0.0003 , 0.0057
lying , 9.669 , -1.1032 , -0.4494 , -0.0024 , -0.0008 , -0.0033
lying , 9.669 , -1.1583 , -0.5092 , -0.0013 , 0.0002 , -0.0033
lying , 9.6378 , -1.1296 , -0.5667 , 0.0003 , -0.0019 , -0.0012
lying , 9.6426 , -1.0553 , -0.4949 , -0.0019 , -0.0243 , 0.002
lying , 9.6211 , -1.1751 , -0.6146 , -0.0051 , -0.0088 , -0.0017
lying , 9.657 , -1.0984 , -0.538 , -0.0029 , 0.004 , -0.0007
