activity,ax,ay,az,gx,gy,gz
sitting , 7.3981 , -1.8818 , 6.2484 , 0.0072 , 0.0342 , 0.0039
sitting , 7.4388 , -1.9512 , 6.1861 , -0.0056 , -0.0031 , 0.0108
sitting , 7.3334 , -1.9608 , 6.234 , 0.0104 , 0.0209 , 0.0012
sitting , 7.4124 , -2.0111 , 6.2652 , 0.0024 , 0.007 , 0.006
sitting , 7.2711 , -1.9273 , 6.2652 , 0.0061 , 0.0251 , -0.0009
sitting , 7.355 , -1.968 , 6.2245 , 0.0008 , -0.0106 , -0.0025
sitting , 7.3885 , -1.9632 , 6.2484 , 0.0061 , 0.0161 , -0.0025
sitting , 7.3741 , -2.0327 , 6.3035 , -0.0029 , -0.0127 , -0.0052
sitting , 7.343 , -2.0087 , 6.2604 , 0.0157 , 0.0288 , -0.0073
sitting , 7.3981 , -2.0375 , 6.2101 , -0.0013 , -0.0106 , -0.0052
sitting , 7.3118 , -1.9632 , 6.3203 , 0.0056 , 0.0193 , -0.0004
sitting , 7.3597 , -2.0638 , 6.2101 , -0.0077 , 0.0043 , 0.0034
sitting , 7.3142 , -1.9848 , 6.2604 , 0.0077 , 0.0118 , 0.0023
sitting , 7.3885 , -2.0806 , 6.258 , -0.0008 , -0.0095 , -0.0014
sitting , 7.331 , -2.0111 , 6.3514 , 0.0051 , 0.015 , 0.0002
sitting , 7.3933 , -2.059 , 6.1861 , -0.0029 , -0.0036 , -0.003
sitting , 7.2783 , -1.9968 , 6.2963 , 0.0056 , 0.0086 , 0.0002
sitting , 7.3837 , -2.0111 , 6.2053 , 0.0019 , -0.002 , -0.0014
sitting , 7.3142 , -1.9824 , 6.3203 , 0.0045 , 0.0193 , -0.0046
sitting , 7.3981 , -2.0303 , 6.234 , -0.0045 , -0.0031 , 0.005
sitting , 7.3502 , -1.9704 , 6.2245 , 0.0045 , 0.0374 , 0.0092
sitting , 7.3597 , -2.0279 , 6.2891 , -0.0114 , 0.007 , 0.0113
sitting , 7.355 , -1.9944 , 6.2939 , 0.004 , 0.0347 , -0.0014
sitting , 7.3861 , -2.0279 , 6.2029 , -0.0082 , -0.009 , 0.006
sitting , 7.3406 , -1.9752 , 6.2724 , 0.0014 , 0.0139 , 0.0071
sitting , 7.3717 , -1.9848 , 6.2388 , 0.0024 , 0.0086 , 0.0002
sitting , 7.3478 , -1.9776 , 6.2388 , 0.0077 , 0.0027 , -0.0036
sitting , 7.4053 , -1.9824 , 6.1622 , 0.0019 , -0.0095 , -0.0052
sitting , 7.319 , -1.9441 , 6.2556 , 0.0195 , 0.0549 , 0.006
sitting , 7.446 , -1.9704 , 6.1909 , 0.0014 , 0.023 , 0.0103
sitting , 7.3118 , -1.9968 , 6.2891 , 0.0088 , 0.048 , 0.0183
sitting , 7.3909 , -2.0375 , 6.258 , -0.0029 , 0.0102 , 0.0081
sitting , 7.2903 , -1.968 , 6.349 , -0.0066 , -0.0052 , -0.0014
