activity,ax,ay,az,gx,gy,gz
sitting , 9.6019 , -1.4027 , 0.001 , 0.0003 , 0.1205 , 0.0151
sitting , 9.6858 , -1.417 , 0.0465 , 0.0019 , 0.0608 , -0.0105
sitting , 9.6043 , -1.4003 , -0.0948 , 0.004 , -0.0452 , -0.0142
sitting , 9.6331 , -1.3715 , -0.1044 , 0.0061 , 0.0384 , 0.0044
sitting , 9.6163 , -1.3883 , 0.0465 , -0.0002 , 0.0635 , 0.0087
sitting , 9.6019 , -1.3739 , 0.0273 , 0.0014 , -0.0058 , -0.0084
sitting , 9.681 , -1.4362 , -0.0206 , 0.0008 , -0.0244 , -0.0222
sitting , 9.6618 , -1.4937 , 0.1399 , 0.0045 , -0.0079 , -0.0057
sitting , 9.6259 , -1.4458 , 0.3723 , 0.0024 , 0.0075 , 0.0028
sitting , 9.6139 , -1.4314 , 0.1543 , -0.0002 , 0.0166 , 0.0002
sitting , 9.6307 , -1.3883 , 0.1088 , -0.0002 , 0.0177 , -0.0036
sitting , 9.6618 , -1.4386 , 0.2789 , 0.0029 , -0.0084 , -0.0014
sitting , 9.6738 , -1.4434 , 0.2813 , 0.0019 , -0.0026 , 0.0007
sitting , 9.645 , -1.4218 , 0.2214 , 0.0008 , 0.0043 , 0.0039
sitting , 9.6402 , -1.3787 , 0.2429 , 0.0051 , 0.0107 , -0.0041
sitting , 9.6402 , -1.3883 , 0.1831 , 0.0024 , 0.0304 , -0.0052
sitting , 9.6498 , -1.4051 , 0.1926 , -0.0018 , 0.0304 , 0.0039
sitting , 9.6211 , -1.4194 , 0.2717 , -0.0018 , 0.031 , -0.0025
sitting , 9.669 , -1.4027 , 0.1998 , 0.0024 , 0.015 , -0.0041
sitting , 9.645 , -1.3811 , 0.1735 , -0.0029 , 0.032 , -0.0057
sitting , 9.6426 , -1.429 , 0.1519 , -0.0168 , 0.048 , -0.0158
sitting , 9.6402 , -1.4147 , 0.1519 , -0.0013 , 0.0363 , -0.0201
sitting , 9.6187 , -1.3596 , 0.1663 , 0.0029 , 0.0645 , -0.011
sitting , 9.6211 , -1.3548 , 0.2621 , 0.0056 , 0.0049 , -0.0132
sitting , 9.6546 , -1.4027 , 0.3172 , 0.0029 , 0.0198 , 0.0199
sitting , 9.681 , -1.4147 , 0.2214 , -0.004 , 0.1055 , 0.0385
sitting , 9.6378 , -1.3931 , 0.3076 , 0.0014 , 0.0288 , 0.0135
sitting , 9.6834 , -1.441 , 0.2358 , 0.0029 , -0.025 , -0.0094
sitting , 9.6043 , -1.3572 , 0.3771 , 0.004 , -0.0068 , -0.0004
sitting , 9.7744 , -1.3835 , 0.3196 , 0.0067 , 0.0134 , 0.0039
sitting , 9.5516 , -1.2973 , 0.5591 , 0.0061 , -0.0031 , 0.0007
sitting , 9.5732 , -1.2973 , 0.3124 , 0.0035 , -0.009 , -0.0062
sitting , 9.6594 , -1.3476 , 0.413 , -0.0002 , -0.0116 , 0.0002
sitting , 9.6522 , -1.4386 , 0.6262 , 0.0056 , -0.0074 , 0.0055
sitting , 9.6115 , -1.4075 , 0.5376 , 0.0024 , -0.0281 , -0.0158
sitting , 9.6474 , -1.3715 , 0.4873 , 0.0115 , 0.0139 , -0.0222
sitting , 9.6019 , -1.3643 , 0.4561 , 0.0093 , -0.0074 , -0.0243
sitting , 9.6139 , -1.4123 , 0.5184 , 0.0056 , 0.0033 , -0.0153
sitting , 9.6426 , -1.3715 , 0.449 , 0.0056 , -0.0335 , 0.0087
sitting , 9.6546 , -1.3787 , 0.504 , 0.0077 , 0.0017 , 0.0092
sitting , 9.6115 , -1.3763 , 0.4561 , 0.0115 , -0.0244 , 0.0364
sitting , 9.7241 , -1.4266 , 0.4274 , -0.0002 , 0.0299 , 0.1168
sitting , 9.6929 , -1.3763 , 0.3412 , -0.013 , 0.0486 , 0.0406
sitting , 9.6211 , -1.3572 , 0.4442 , -0.005 , 0.1151 , -0.0542
sitting , 9.6378 , -1.2925 , 0.3699 , 0.0003 , -0.0399 , -0.0483
sitting , 9.5971 , -1.2134 , 0.4537 , 0.0035 , 0.023 , -0.027
sitting , 9.6642 , -1.3452 , 0.3244 , -0.0045 , 0.0283 , -0.0227
