activity,ax,ay,az,gx,gy,gz
standing , 0.559 , -9.8252 , -0.5308 , 0.0269 , 0.0013 , -0.0001
standing , 0.4943 , -9.8348 , -0.6338 , -0.0296 , -0.0077 , -0.0054
standing , 0.4081 , -9.8108 , -0.5212 , 0.0365 , 0.0018 , -0.0065
standing , 0.4751 , -9.8276 , -0.641 , -0.0482 , 0.0184 , -0.0076
standing , 0.5183 , -9.8204 , -0.6889 , 0.0285 , 0.004 , 0.0015
standing , 0.4248 , -9.8084 , -0.6769 , -0.0147 , 0.0157 , -0.0097
standing , 0.4751 , -9.8851 , -0.6865 , 0.012 , 0.0056 , -0.0033
standing , 0.4368 , -9.8252 , -0.6338 , 0.0098 , -0.02 , -0.0076
standing , 0.5015 , -9.8659 , -0.641 , -0.0051 , 0.0125 , -0.0145
standing , 0.5949 , -9.8276 , -0.5571 , 0.0077 , 0.0061 , 0.0079
standing , 0.5326 , -9.8803 , -0.7152 , -0.0013 , 0.005 , -0.0118
standing , 0.4512 , -9.8036 , -0.5428 , 0.0035 , 0.0162 , 0.0041
standing , 0.5374 , -9.8443 , -0.6434 , 0.0189 , -0.0051 , 0.0041
standing , 0.4919 , -9.8443 , -0.6386 , -0.0173 , 0.0034 , 0.0073
standing , 0.5422 , -9.7964 , -0.5667 , 0.0045 , 0.0088 , -0.0038
standing , 0.6237 , -9.8467 , -0.6817 , -0.0088 , 0.0056 , -0.0081
standing , 0.4871 , -9.8156 , -0.6673 , 0.0035 , -0.0045 , -0.0017
standing , 0.5614 , -9.83 , -0.5691 , -0.0083 , 0.0013 , 0.0025
standing , 0.5039 , -9.8419 , -0.5715 , 0.0056 , -0.0024 , -0.0049
standing , 0.5686 , -9.7653 , -0.5212 , -0.0141 , 0.0024 , 0.0063
standing , 0.5135 , -9.8563 , -0.6146 , -0.0003 , 0.02 , 0.0015
standing , 0.5925 , -9.8491 , -0.5524 , -0.0189 , 0.013 , 0.0089
standing , 0.5614 , -9.8324 , -0.6386 , 0.0013 , 0.0029 , -0.0023
standing , 0.547 , -9.8228 , -0.5308 , -0.0072 , -0.0168 , 0.0057
standing , 0.5638 , -9.8515 , -0.6027 , -0.004 , -0.0072 , 0.0068
standing , 0.5542 , -9.8659 , -0.5476 , -0.0115 , 0.0109 , 0.0004
standing , 0.5422 , -9.8443 , -0.6338 , 0.0216 , -0.0131 , 0.0132
standing , 0.5422 , -9.7916 , -0.526 , 0.0104 , -0.0205 , 0.0185
standing , 0.5566 , -9.8587 , -0.6362 , 0.0253 , -0.0291 , 0.0233
standing , 0.6165 , -9.8132 , -0.4853 , -0.0376 , -0.0008 , 0.0057
standing , 0.5183 , -9.818 , -0.6338 , 0.0035 , 0.012 , -0.0124
standing , 0.5829 , -9.8659 , -0.5619 , -0.0109 , 0.0082 , -0.0028
standing , 0.5805 , -9.8779 , -0.6817 , 0.004 , 0.0088 , -0.0007
standing , 0.4608 , -9.8491 , -0.5212 , -0.0024 , -0.003 , 0.0159
standing , 0.5278 , -9.8156 , -0.6075 , 0.004 , -0.0083 , -0.0007
standing , 0.5159 , -9.806 , -0.5643 , -0.028 , 0.0002 , 0.0068
standing , 0.5039 , -9.8419 , -0.6578 , 0.0285 , -0.0093 , -0.006
standing , 0.5877 , -9.8324 , -0.5092 , -0.0109 , -0.0003 , -0.0049
