activity,ax,ay,az,gx,gy,gz
standing , 2.0322 , -9.612 , -0.9644 , -0.0002 , -0.0356 , 0.0023
standing , 2.0538 , -9.5808 , -0.9716 , -0.0056 , 0.0352 , 0.0129
standing , 2.1424 , -9.5856 , -0.9404 , -0.005 , -0.0377 , -0.0014
standing , 2.1927 , -9.5904 , -0.8111 , -0.0008 , -0.0255 , -0.0025
standing , 2.1304 , -9.5497 , -0.8877 , -0.0072 , -0.0047 , -0.0057
standing , 2.1568 , -9.4826 , -0.8302 , 0.0141 , 0.0251 , 0.0012
standing , 2.231 , -9.4922 , -0.8015 , -0.0024 , 0.0054 , -0.0041
standing , 2.2574 , -9.5186 , -0.744 , 0.004 , 0.0517 , 0.0018
standing , 2.116 , -9.5281 , -0.9141 , 0.0061 , 0.0336 , -0.0036
standing , 2.2406 , -9.5425 , -0.8805 , -0.0125 , -0.0074 , 0.0055
standing , 2.2334 , -9.5257 , -0.8757 , 0.0014 , 0.0523 , 0.005
standing , 2.3221 , -9.5233 , -0.8398 , -0.004 , -0.0026 , 0.0012
standing , 2.1184 , -9.5545 , -0.8805 , 0.0061 , 0.0075 , 0.0071
standing , 2.1759 , -9.5353 , -0.9476 , 0.0045 , 0.0262 , -0.002
standing , 2.1807 , -9.5665 , -0.9308 , 0.0061 , -0.0047 , 0.0002
standing , 2.2214 , -9.5329 , -0.8829 , 0.0051 , -0.0036 , -0.0068
standing , 2.2238 , -9.5209 , -0.9692 , 0.0067 , -0.0191 , -0.0158
standing , 2.1879 , -9.5713 , -0.9308 , 0.0035 , 0.031 , -0.0057
standing , 2.1879 , -9.5353 , -0.962 , 0.0051 , 0.0209 , 0.0034
standing , 2.1951 , -9.5281 , -0.9237 , 0.0077 , 0.0027 , -0.0142
standing , 2.2813 , -9.5497 , -0.9117 , 0.0008 , 0.0448 , 0.0023
standing , 2.1711 , -9.5808 , -0.8757 , 0.0067 , -0.0015 , -0.0148
standing , 2.2741 , -9.5138 , -0.823 , -0.0077 , 0.072 , 0.0124
standing , 2.1735 , -9.5665 , -0.9284 , 0.0067 , 0.0038 , -0.0089
standing , 2.152 , -9.5401 , -0.9596 , -0.0008 , 0.0161 , 0.0002
standing , 2.1304 , -9.5353 , -0.8949 , -0.0029 , -0.0058 , -0.0073
standing , 2.2574 , -9.4946 , -0.871 , -0.0002 , 0.0283 , -0.003
standing , 2.1759 , -9.4994 , -0.9596 , -0.0008 , 0.0288 , 0.0028
standing , 2.2957 , -9.5617 , -0.7943 , -0.0056 , 0.0288 , 0.006
