ax,ay,az,gx,gy,gz
9.1156 , -0.9379 , 3.5319 , 0.001 , -0.0035 , 0.0029
9.1156 , -0.8589 , 3.5008 , 0.0042 , 0.0162 , 0.0034
9.1156 , -0.9044 , 3.5247 , 0.0021 , 0.0109 , -0.0014
9.0773 , -0.9499 , 3.4265 , -0.0043 , -0.011 , 0.0013
9.1156 , -0.8469 , 3.5056 , 0.0036 , -0.0104 , -0.0041
9.0605 , -0.8781 , 3.5319 , 0.0042 , -0.0163 , -0.0051
9.0869 , -0.9595 , 3.4529 , 0.0042 , -0.0237 , 0.0034
9.142 , -0.89 , 3.5008 , -0.0054 , -0.0104 , 0.0023
9.0845 , -0.9092 , 3.5295 , -0.0033 , -0.0173 , -0.0041
9.0701 , -0.902 , 3.5152 , 0.0026 , -0.0056 , -0.0003
9.1108 , -0.8876 , 3.4936 , 0.0068 , 0.0146 , -0.0003
9.1228 , -0.8709 , 3.4768 , 0.0047 , 0.0162 , 0.0002
9.051 , -0.8445 , 3.4002 , 0.0015 , 0.0088 , -0.0003
9.13 , -0.9188 , 3.5535 , 0.0047 , 0.0072 , 0.0023
9.0869 , -0.9427 , 3.5319 , -0.0033 , 0.0066 , -0.0041
9.0893 , -0.8972 , 3.4744 , 0.0015 , -0.012 , -0.0019
9.1348 , -0.9092 , 3.4289 , 0.0021 , 0.0104 , 0.0029
9.1013 , -0.8924 , 3.496 , 0.0031 , 0.0104 , 0.0023
9.1228 , -0.902 , 3.4409 , -0.0011 , 0.0029 , -0.0014
9.118 , -0.8829 , 3.4601 , 0.0021 , 0.0008 , -0.0014
9.0917 , -0.9236 , 3.5247 , -0.0054 , 0.0173 , 0.0029
9.1228 , -0.8948 , 3.5176 , 0.0052 , 0.0178 , 0.0007
9.0845 , -0.9164 , 3.472 , -0.0027 , 0.0098 , -0.0046
9.1061 , -0.8972 , 3.4697 , -0.0049 , -0.0248 , -0.0035
9.1204 , -0.8661 , 3.4649 , 0.0036 , 0.0034 , -0.0003
9.1252 , -0.9739 , 3.472 , -0.0033 , 0.0045 , 0.0018
9.118 , -0.8541 , 3.4361 , 0.0036 , 0.0082 , -0.0014
9.1324 , -0.8972 , 3.4792 , 0.0063 , 0.0013 , 0.0018
9.1037 , -0.9044 , 3.4409 , -0.0075 , -0.004 , -0.0014
9.1037 , -0.926 , 3.5224 , 0.0058 , 0.0008 , -0.0003
9.0869 , -0.9092 , 3.4241 , 0.0052 , -0.0008 , 0.0013
9.0965 , -0.9212 , 3.4792 , 0.0042 , 0.0125 , -0.0051
9.1204 , -0.8565 , 3.4289 , 0.0026 , -0.0024 , -0.003
9.0126 , -0.9547 , 3.4673 , -0.0033 , 0.0077 , -0.0009
9.1276 , -0.8709 , 3.4481 , 0.0036 , 0.0135 , -0.0014
9.0605 , -0.8876 , 3.4888 , 0.0036 , -0.0014 , -0.0014
9.1228 , -0.8876 , 3.4361 , -0.0038 , -0.0142 , -0.0025
9.0773 , -0.914 , 3.4697 , -0.0033 , -0.0157 , 0.0007
9.0941 , -0.9044 , 3.4577 , 0.0005 , -0.0275 , 0.0023
9.1276 , -0.9284 , 3.472 , -0.0027 , -0.0067 , -0.0009
9.0246 , -0.9044 , 3.5319 , 0.0015 , -0.0056 , -0.0057
9.1108 , -0.8757 , 3.4337 , 0.0026 , 0.0056 , 0.0007
9.1396 , -0.9092 , 3.417 , 0.0031 , 0.0066 , -0.0014
9.0677 , -0.9236 , 3.5176 , -0.0097 , -0.003 , -0.0003
9.0869 , -0.8805 , 3.4433 , 0.0063 , 0.0008 , -0.0003
9.1468 , -0.8829 , 3.5176 , -0.0107 , 0.0024 , 0.0018
9.1084 , -0.9284 , 3.4529 , 0.0084 , -0.0014 , -0.0025
9.0414 , -0.9332 , 3.4792 , -0.0054 , 0.0024 , -0.003
9.1348 , -0.8757 , 3.4577 , -0.0022 , -0.011 , 0.0002
9.1324 , -0.8781 , 3.5128 , -0.0006 , 0.0013 , -0.0014
9.0989 , -0.8661 , 3.5152 , 0.0036 , 0.0077 , 0.0007
9.1252 , -0.8948 , 3.4098 , 0.0031 , -0.0003 , 0.0007
9.0965 , -0.914 , 3.5655 , 0.0015 , 0.0077 , 0.0002
9.1516 , -0.9332 , 3.4265 , -0.0043 , 0.0088 , 0.0007
9.003 , -0.9451 , 3.5032 , 0.0058 , -0.0142 , -0.0057
9.1013 , -0.8924 , 3.4697 , -0.0091 , -0.004 , 0.0002
9.1252 , -0.914 , 3.4601 , 0.0047 , 0.0151 , 0.0034
9.0917 , -0.8613 , 3.5224 , 0.0036 , 0.0098 , 0.0013
9.13 , -0.9308 , 3.4553 , 0.0005 , 0.005 , -0.0014
9.1276 , -0.8661 , 3.4505 , -0.0001 , 0.0018 , 0.0013
9.1204 , -0.9547 , 3.5104 , 0.0015 , -0.0056 , -0.0003
9.039 , -0.902 , 3.4337 , -0.0059 , -0.0046 , -0.0003
9.0989 , -0.8948 , 3.4864 , 0.0047 , 0.0109 , -0.0019
9.1204 , -0.8781 , 3.4337 , 0.0036 , 0.0045 , 0.0029
9.1108 , -0.8972 , 3.4553 , -0.0027 , -0.0088 , 0.0018
9.1013 , -0.8829 , 3.4816 , -0.0001 , 0.0008 , 0.0007
9.1108 , -0.9188 , 3.4409 , 0.0026 , 0.005 , 0.0002
9.1468 , -0.914 , 3.4529 , 0.0005 , 0.0024 , 0.0007
9.0653 , -0.9403 , 3.4625 , -0.0022 , -0.011 , 0.0029
9.0989 , -0.8996 , 3.5008 , -0.0017 , -0.0051 , -0.0009
9.1372 , -0.9116 , 3.508 , -0.0001 , 0.0077 , 0.0034
9.1013 , -0.8948 , 3.4289 , 0.0026 , -0.0083 , -0.0009
9.0941 , -0.8948 , 3.4529 , -0.0022 , -0.0008 , -0.0025
9.0917 , -0.9284 , 3.4457 , 0.0031 , 0.0024 , -0.0003
9.1324 , -0.8972 , 3.5032 , 0.0031 , -0.012 , -0.003
9.0797 , -0.8876 , 3.4361 , -0.0011 , -0.0099 , -0.003
