ax,ay,az,gx,gy,gz
3.4216 , -3.1106 , 8.7181 , 0.0036 , 0.0088 , 0.0002
3.424 , -3.113 , 8.7445 , 0.0047 , 0.0205 , 0.0007
3.4743 , -3.1681 , 8.7205 , 0.0031 , 0.0056 , 0.0034
3.4384 , -3.125 , 8.7541 , -0.0059 , -0.0088 , 0.0002
3.4264 , -3.1729 , 8.7493 , -0.0043 , -0.0056 , 0.0013
3.4144 , -3.1514 , 8.7445 , 0.0005 , -0.003 , 0.0007
3.4982 , -3.1562 , 8.7134 , 0.0021 , -0.0062 , -0.0041
3.388 , -3.0843 , 8.7229 , -0.0059 , -0.0051 , 0.0029
3.3856 , -3.1466 , 8.7445 , 0.0021 , 0.005 , 0.0029
3.4168 , -3.1083 , 8.7325 , -0.0006 , 0.0077 , 0.0023
3.4407 , -3.1322 , 8.6798 , -0.0038 , -0.0067 , 0.0007
3.4216 , -3.1657 , 8.7038 , -0.0043 , -0.0136 , 0.0007
3.424 , -3.1825 , 8.7541 , 0.0015 , -0.0008 , -0.0025
3.4623 , -3.1154 , 8.7134 , 0.0058 , 0.0061 , 0.0061
3.4767 , -3.1514 , 8.6607 , 0.0095 , 0.0151 , 0.0087
3.4503 , -3.1873 , 8.7301 , 0.0052 , 0.0045 , 0.0039
3.3976 , -3.1514 , 8.7804 , 0.0063 , -0.003 , 0.0034
3.4527 , -3.1346 , 8.7086 , 0.001 , 0.0056 , -0.0019
3.4911 , -3.1849 , 8.6822 , 0.009 , 0.0104 , 0.0045
3.4863 , -3.1633 , 8.6918 , 0.0079 , 0.0141 , -0.003
3.4503 , -3.1729 , 8.711 , 0.0058 , 0.004 , -0.0009
3.4216 , -3.1298 , 8.7086 , 0.0074 , 0.0109 , -0.0003
3.4671 , -3.1466 , 8.7493 , 0.0052 , 0.0072 , 0.0018
3.4623 , -3.1298 , 8.7038 , -0.0006 , 0.0008 , 0.0018
3.4551 , -3.1514 , 8.6559 , 0.0036 , 0.0013 , 0.0034
3.4551 , -3.1322 , 8.7493 , 0.0042 , 0.0098 , -0.0009
3.4048 , -3.1346 , 8.778 , 0.001 , 0.0008 , 0.0018
3.4455 , -3.1466 , 8.7014 , 0.0005 , 0.0008 , -0.0025
3.4096 , -3.1633 , 8.7517 , 0.0042 , -0.0024 , 0.0023
3.4623 , -3.149 , 8.7637 , 0.0021 , 0.0056 , -0.003
3.4647 , -3.1178 , 8.7493 , 0.0026 , 0.0018 , 0.0055
3.436 , -3.1322 , 8.7613 , 0.0042 , 0.0056 , 0.0002
3.4288 , -3.1394 , 8.7397 , 0.0005 , 0.0045 , 0.0055
3.3809 , -3.1801 , 8.7541 , 0.0036 , 0.0098 , 0.0034
3.4 , -3.1274 , 8.7661 , 0.0005 , 0.0072 , 0.0002
3.3737 , -3.1562 , 8.7589 , 0.0005 , 0.0034 , -0.0009
3.3497 , -3.1035 , 8.7852 , -0.0027 , -0.0003 , 0.0029
3.4 , -3.1657 , 8.7852 , -0.0001 , 0.0034 , 0.0002
3.4072 , -3.1633 , 8.7852 , 0.0047 , 0.005 , -0.0041
3.4527 , -3.161 , 8.7134 , -0.0001 , 0.0002 , 0.0018
3.4048 , -3.1178 , 8.7493 , 0.0042 , 0.0045 , -0.0003
3.3737 , -3.1538 , 8.7565 , 0.001 , 0.0034 , -0.003
3.3737 , -3.1418 , 8.7253 , -0.0011 , 0.004 , 0.0002
3.3856 , -3.1322 , 8.7565 , -0.0017 , 0.0002 , -0.0009
3.4072 , -3.1035 , 8.7972 , 0.0042 , 0.0018 , 0.0029
3.3497 , -3.1011 , 8.7613 , 0.0005 , 0.0045 , -0.0041
3.3761 , -3.113 , 8.7661 , -0.0017 , -0.0067 , 0.0018
3.3976 , -3.113 , 8.687 , -0.0001 , 0.0056 , -0.0009
3.3689 , -3.0747 , 8.7637 , 0.0021 , -0.003 , 0.0034
3.3713 , -3.149 , 8.7421 , -0.0006 , 0.0013 , 0.0007
3.3617 , -3.1178 , 8.7469 , -0.0043 , -0.003 , 0.0013
3.4 , -3.1705 , 8.7589 , -0.0001 , -0.0019 , -0.0019
3.3976 , -3.1083 , 8.7349 , -0.0011 , -0.0046 , 0.0002
3.4168 , -3.1562 , 8.8044 , 0.0058 , 0.0061 , -0.0003
3.3569 , -3.161 , 8.7517 , 0.0042 , 0.0093 , -0.0003
3.4024 , -3.149 , 8.7253 , 0.0047 , 0.0056 , 0.0007
3.4024 , -3.1873 , 8.7565 , -0.0022 , 0.0034 , -0.0014
3.424 , -3.1681 , 8.6942 , 0.0015 , 0.0098 , -0.003
3.4168 , -3.1514 , 8.7445 , -0.0049 , -0.0083 , -0.0057
3.4024 , -3.1442 , 8.711 , 0.0021 , -0.0046 , -0.0035
3.4072 , -3.161 , 8.7852 , -0.0017 , -0.0024 , -0.003
3.3976 , -3.1442 , 8.7253 , 0.0052 , 0.0077 , -0.0089
3.388 , -3.149 , 8.7517 , -0.0038 , -0.003 , 0.0018
3.3904 , -3.1274 , 8.7924 , 0.0005 , 0.005 , -0.0062
3.3856 , -3.1514 , 8.7349 , 0.001 , -0.0035 , -0.0051
3.3761 , -3.1681 , 8.7852 , -0.0006 , -0.004 , -0.0025
3.3904 , -3.1418 , 8.6798 , -0.0081 , 0.0061 , -0.0035
3.4048 , -3.1538 , 8.7349 , 0.0052 , 0.0077 , -0.0062
3.4288 , -3.1466 , 8.7086 , -0.0086 , -0.0142 , -0.0057
