ax,ay,az,gx,gy,gz
-1.4029 , -9.6934 , -1.0291 , -0.0049 , 0.0049 , -0.0032
-1.3957 , -9.7246 , -0.9165 , 0.0074 , -0.027 , 0.001
-1.2879 , -9.7006 , -0.8901 , 0.0111 , 0.0262 , 0.0143
-1.3239 , -9.715 , -1.0362 , -0.0203 , 0.006 , -0.0
-1.3047 , -9.7294 , -0.9883 , 0.0101 , -0.0084 , 0.009
-1.2927 , -9.7054 , -0.9907 , 0.0037 , -0.018 , 0.0095
-1.3143 , -9.7174 , -0.9907 , -0.0299 , -0.0552 , -0.0086
-1.3334 , -9.7054 , -1.0362 , 0.0266 , -0.0057 , 0.0053
-1.2999 , -9.7318 , -0.8662 , 0.0042 , -0.035 , -0.0054
-1.331 , -9.7341 , -0.9596 , -0.0198 , 0.0199 , 0.0074
-1.3718 , -9.7461 , -0.9955 , 0.0021 , -0.0355 , -0.0096
-1.3406 , -9.7437 , -0.8853 , -0.0128 , 0.0135 , 0.001
-1.3861 , -9.7198 , -1.0818 , 0.0042 , 0.0167 , -0.0032
-1.3885 , -9.715 , -1.041 , -0.0086 , -0.0116 , -0.0043
-1.3071 , -9.691 , -0.9644 , 0.0095 , 0.0236 , 0.0058
-1.4628 , -9.715 , -1.0386 , -0.0118 , -0.018 , -0.0128
-1.3119 , -9.7078 , -0.9548 , 0.0117 , 0.0188 , -0.0022
-1.379 , -9.7246 , -1.0578 , 0.0058 , 0.0193 , 0.0047
-1.3814 , -9.7294 , -0.8853 , 0.0133 , -0.0196 , -0.0059
-1.3574 , -9.7341 , -1.0722 , 0.0106 , 0.0268 , 0.0026
-1.2783 , -9.7341 , -0.9716 , 0.018 , 0.0204 , 0.0101
-1.4652 , -9.7006 , -1.0554 , 0.0159 , -0.0377 , -0.0118
-1.2736 , -9.7126 , -0.9979 , 0.0042 , -0.0041 , 0.0074
-1.3861 , -9.7845 , -1.0243 , -0.0128 , 0.0065 , -0.0118
-1.3215 , -9.7174 , -0.9428 , 0.0101 , -0.0158 , -0.0
-1.3454 , -9.794 , -0.9907 , -0.0059 , -0.002 , 0.0037
-1.379 , -9.6814 , -1.0482 , -0.0011 , 0.0087 , -0.0048
-1.3814 , -9.6551 , -1.0243 , 0.0015 , 0.0151 , 0.0005
-1.2544 , -9.8012 , -0.9452 , 0.0111 , -0.0057 , -0.0091
-1.4412 , -9.715 , -1.0674 , 0.0042 , 0.0033 , -0.0032
-1.2664 , -9.7557 , -0.9189 , 0.0154 , 0.0001 , -0.0
-1.4436 , -9.6719 , -0.8805 , -0.0182 , -0.0164 , 0.0074
-1.3358 , -9.7318 , -0.8973 , 0.0106 , -0.0249 , -0.0064
-1.3287 , -9.6623 , -0.9788 , -0.0128 , 0.03 , 0.0122
-1.3718 , -9.7198 , -0.938 , 0.0031 , -0.0078 , 0.0063
-1.3382 , -9.7198 , -1.0123 , -0.0017 , 0.0156 , 0.0127
-1.3215 , -9.7341 , -1.0003 , 0.0074 , -0.0201 , 0.0015
-1.3143 , -9.6791 , -0.9189 , -0.0182 , 0.0097 , 0.0159
