ax,ay,az,gx,gy,gz
-2.6605 , -10.2683 , -1.9633 , -1.3785 , -2.2603 , -1.1623
-2.2677 , -9.5808 , -2.143 , 0.5501 , 1.0201 , -0.465
-0.2148 , -11.3798 , 8.5361 , -0.554 , -0.3578 , 0.0846
-3.142 , -11.6481 , -1.9202 , 0.164 , 0.9653 , 0.4676
-3.9421 , -7.2141 , -1.4435 , -0.4208 , 0.3485 , 0.3504
-3.899 , -8.9628 , 1.1101 , -0.2898 , 1.4489 , 0.4111
-3.1756 , -7.4872 , 1.2874 , 0.1171 , 0.1637 , 0.4138
-0.4663 , -9.9018 , 1.3377 , 0.5145 , 1.6375 , 0.401
0.8464 , -9.8443 , 1.1389 , 0.1043 , -1.291 , 0.1177
-5.0824 , -13.6076 , 1.2993 , -0.7623 , -0.198 , -0.0293
-2.9049 , -9.6551 , 1.2347 , 0.2204 , -1.9701 , -0.0011
-2.1192 , -9.727 , -2.8089 , -0.1636 , -1.1067 , 0.1486
-1.9778 , -8.9963 , -0.1236 , -0.4496 , -2.0547 , 0.3291
-2.4833 , -9.8132 , -1.6447 , -1.1234 , -5.1366 , -0.7857
-3.0582 , -9.4682 , -0.0014 , 0.4356 , -1.4678 , -0.7106
-3.3936 , -9.576 , -2.9454 , -0.9652 , -2.5405 , 0.0852
-2.7827 , -9.612 , -1.5609 , -0.1785 , -2.1394 , -0.0006
-0.8304 , -10.6157 , -1.2614 , 0.0868 , -2.3876 , 0.2769
-2.8881 , -9.8372 , 3.5224 , 0.4532 , -1.2222 , 0.6178
-3.6187 , -8.2082 , -0.6793 , 0.1102 , -0.3354 , 0.4053
0.1398 , -9.6671 , 0.0441 , -1.1159 , -1.243 , 0.4703
-2.603 , -9.6287 , 3.8074 , -1.6922 , -0.5043 , 0.1374
-3.3552 , -9.1592 , 0.001 , -0.3516 , 0.0981 , -0.1652
-1.7383 , -8.7855 , -0.4038 , 0.4617 , 0.3149 , -0.1556
1.0429 , -9.7102 , 0.0154 , -0.9881 , -2.4031 , -0.3516
0.1518 , -10.242 , 0.6574 , -0.3995 , -0.884 , 0.1997
-5.2668 , -11.1187 , 4.8806 , -0.6344 , -0.2875 , 0.2332
-3.5181 , -8.6394 , -0.2481 , -0.4299 , -1.4033 , -0.0863
-2.9097 , -9.2263 , -3.1299 , -0.5226 , -1.5951 , -0.1028
-3.0893 , -9.7533 , -2.2603 , -0.2754 , -0.5863 , 0.2785
-2.0018 , -9.624 , -1.053 , -0.0496 , -0.2768 , 0.5901
-0.7609 , -9.9713 , -0.9883 , 1.6916 , -1.5104 , -1.9644
-1.8724 , -9.5138 , -1.3045 , -0.122 , -2.6023 , -0.8682
-2.3755 , -9.8228 , -1.5225 , 0.4697 , 1.1623 , -0.9002
