activity,ax,ay,az,gx,gy,gz
walking , 0.5326 , -9.9449 , -0.3392 , -0.306 , 0.4983 , -0.5045
walking , 1.2273 , -10.1605 , 0.0513 , -1.0623 , 2.135 , 0.5783
walking , 0.856 , -9.794 , -1.5896 , 0.8935 , -0.3129 , 0.402
walking , 3.4264 , -12.762 , -2.2028 , -0.2288 , 0.0029 , 0.3546
walking , 4.4756 , -9.4108 , -4.2606 , -0.926 , 0.6623 , 0.4281
walking , -2.9791 , -12.4913 , -4.3827 , -0.257 , 0.6666 , 0.4718
walking , 0.111 , -10.2085 , 0.9688 , 0.8402 , -0.0061 , 0.5341
walking , -2.7588 , -7.3075 , 0.528 , 0.8802 , 3.0368 , 0.6758
walking , 2.2454 , -10.3713 , 0.8538 , 3.456 , 0.07 , -1.736
walking , 4.8469 , -10.3737 , 1.5652 , -0.3965 , 2.0253 , -1.3503
walking , 2.6215 , -16.6595 , -0.6075 , -1.9103 , -1.9082 , -1.4393
walking , -1.1969 , -5.3169 , -1.3932 , 0.2069 , 2.3039 , -0.0598
walking , -2.3851 , -11.7607 , -6.0021 , -0.706 , -0.3806 , 0.2609
walking , 0.5614 , -9.5569 , -0.6506 , -0.4583 , 2.176 , 0.6124
walking , 1.8933 , -9.6431 , 0.504 , -0.1995 , 0.6996 , -0.6276
walking , 1.2609 , -9.5018 , -1.2902 , -0.3923 , 2.3103 , -0.2888
walking , -0.0543 , -10.2156 , -0.8015 , 0.3625 , -1.9939 , 0.5394
walking , 1.1291 , -10.1701 , -1.7333 , -0.094 , 1.228 , 0.7328
walking , 5.1847 , -12.4937 , 4.8039 , -0.8621 , -1.1044 , 0.6401
walking , -0.5525 , -11.6433 , -3.5515 , -0.0061 , -1.3649 , 0.148
walking , -2.1216 , -9.1449 , -3.1515 , 0.2096 , -1.7052 , 0.2609
walking , 2.8754 , -9.8707 , 0.4633 , 0.5563 , 1.6439 , 0.9139
walking , 0.0679 , -8.0118 , 0.504 , 1.5289 , -3.5284 , -0.7399
