activity,ax,ay,az,gx,gy,gz
walking , 1.0596 , -9.2503 , 8.5768 , 0.4077 , 1.5033 , 0.3935
walking , 1.1579 , -10.5774 , -4.2558 , -0.1904 , -0.7678 , 0.1346
walking , 0.9614 , -10.436 , -0.2745 , -0.6634 , -0.5894 , 0.4159
walking , -1.4676 , -9.5377 , 1.0143 , -0.0317 , -1.0315 , 0.2332
walking , 2.0705 , -8.2537 , 0.8179 , 0.2549 , -0.3886 , 0.3354
walking , 1.0644 , -8.8215 , 0.4897 , 0.1883 , -0.4717 , 0.4004
walking , 2.9185 , -9.7389 , 1.0981 , -0.551 , 1.1529 , 0.1352
walking , 1.1914 , -12.3189 , -1.4099 , 3.1854 , -3.6488 , -2.4955
walking , -0.0399 , -5.7169 , 5.1824 , 0.0999 , -0.33 , -0.6702
walking , 1.1483 , -9.394 , -1.4123 , -0.3289 , 0.6815 , -0.8912
walking , 1.1626 , -9.2622 , -1.695 , -0.5121 , -0.281 , -0.128
walking , 1.7783 , -9.818 , 0.0657 , -0.0914 , 1.0794 , 0.4734
walking , 1.1076 , -9.7821 , 0.0058 , -0.3156 , 0.1398 , 0.3658
walking , 1.3663 , -9.8946 , -0.2577 , -0.4551 , -0.0733 , 0.6449
walking , 1.0884 , -9.9354 , -1.9968 , -0.6384 , 0.2554 , 0.4489
walking , 4.2504 , -13.9694 , 0.7652 , 0.5238 , 1.0778 , 0.2955
walking , -0.4639 , -9.485 , -3.8964 , -0.1659 , -1.5156 , 0.0468
walking , -1.3358 , -10.1558 , 2.2432 , -0.5595 , -0.7167 , 0.2955
walking , 0.9303 , -8.7879 , -0.0948 , 0.0503 , -0.5217 , 0.2097
walking , -1.2831 , -7.3698 , 1.2083 , 0.1904 , -0.7609 , 0.2433
walking , 3.2515 , -9.4347 , 0.5663 , 0.1201 , -0.1915 , 0.4068
walking , 3.7378 , -9.6982 , 1.4886 , 0.494 , 1.7441 , 0.5879
walking , 0.9998 , -13.0878 , -0.6482 , 3.4512 , -4.508 , -1.6103
walking , -0.8927 , -4.0257 , 6.9934 , -0.3486 , 1.7904 , -0.8875
walking , 0.7267 , -8.8694 , -1.8387 , -0.7161 , 0.045 , -0.6169
walking , 0.9471 , -9.612 , -1.5752 , 0.1632 , 1.5683 , -0.4566
walking , 1.2082 , -9.497 , -0.4589 , -0.3204 , -0.0285 , -0.2563
walking , 0.9494 , -9.9449 , -0.0325 , -0.11 , 1.8799 , -0.0928
walking , 1.5076 , -9.9737 , -0.9668 , -0.1622 , 1.5944 , 0.1565
walking , 1.1123 , -10.0935 , -1.2638 , -0.5819 , 1.6147 , 0.2742
walking , 2.4299 , -11.2193 , -1.1704 , -1.0235 , 0.6719 , 0.565
walking , -1.0292 , -9.0275 , 18.106 , -0.1457 , 1.5161 , 0.2199
walking , -2.2868 , -13.404 , -3.3191 , -0.0834 , 2.8578 , 0.369
walking , -0.7585 , -7.571 , -0.4541 , -0.7401 , 1.2647 , 0.2673
walking , 2.1424 , -10.3594 , 2.8828 , -0.1143 , 1.0192 , -0.0145
walking , 1.5196 , -8.9197 , 0.1112 , 0.126 , 1.5609 , -0.0145
walking , 2.9137 , -9.1544 , 0.9831 , -0.2517 , 1.5619 , -0.0507
walking , 2.2502 , -9.1784 , 1.5652 , -0.0163 , 1.5459 , -0.0997
walking , 2.2047 , -8.4502 , 1.2035 , 0.2218 , 1.0325 , -0.1796
walking , -1.2328 , -15.088 , 0.3412 , 0.2165 , 0.4977 , -0.2212
walking , 1.7519 , -9.703 , 2.1521 , 0.1467 , 0.9963 , -0.0166
walking , 0.4296 , -9.5377 , -0.8877 , 0.3832 , -1.3862 , -0.0044
walking , 1.8597 , -9.6096 , -0.2002 , 0.2117 , 2.918 , 0.1325
walking , 1.486 , -10.5462 , 0.4154 , -0.7966 , 1.4458 , -0.7549
walking , 1.1435 , -9.8204 , -1.0865 , -0.6107 , 2.5478 , -0.4704
walking , 0.88 , -9.6719 , -1.8986 , -0.3854 , -0.101 , -0.7495
walking , 1.1076 , -9.9617 , -0.756 , -0.2517 , 0.9893 , -0.4577
walking , 1.0956 , -9.9617 , -0.9213 , -0.2655 , 1.0905 , -0.1722
walking , 0.5997 , -10.0647 , -1.671 , -0.355 , 0.4242 , 0.116
walking , 0.2404 , -9.7916 , -1.1201 , -0.6309 , 0.8493 , 0.5559
